Domain,Feature,Reliability,Relevance,Privacy,Volitionality,Outcome,Cycle,Disparity,By Group,Avg 3 Point Consensus (1-NSE)
rec,Current Charges,0.8530388855485034,0.7916942306384149,0.28587974101215374,0.18635175922514868,0.33580237151268433,0.07140127405502994,0.06583385935770847,0.13437967600060896,0.3405477246687816
rec,Criminal History,0.8925333719103389,0.9369064296695833,0.30302943221124,0.2399145211398871,0.3385404724589002,0.11572229756578811,0.08414209236389303,0.13437967600060885,0.38064603666502994
rec,Substance Abuse,0.3851878306802127,0.6376815320131107,0.08815141086797929,0.16418693329010037,0.46462818142134454,0.2881250017530814,0.024429056717480302,0.05549350212140147,0.26348543110808886
rec,Employment and Living,0.42683900808342357,0.3794975465811473,0.23765457659789857,0.3794975465811472,0.23799567543376154,0.1708590770614754,0.12110599963615887,0.06684822583629058,0.2525372069764129
rec,Personality,0.2536707888785126,0.15293003048585252,0.036794344965652814,0.123580717208994,0.3130518840479889,0.04789612862218917,0.08422455451105837,0.09806758111999203,0.13877700373003005
rec,Criminal Attitudes,0.15290694114118786,0.1751299598380841,0.05896513744180809,0.3076791332661223,0.15914384781613944,0.056465414366206,0.010100306966310924,0.0057351191957750736,0.11576573250395422
rec,Neighbourhood,0.37368446843791014,0.19549710660191766,0.25035617539102695,0.20117032262878431,0.03589742662581219,0.08642976103190014,0.19794408229388172,0.09092390745955314,0.17898790630884828
rec,Friends and Family,0.22852964164277245,0.1483255079044412,0.11333744207773111,0.27176580434141884,0.1346161633086438,0.13073233240665638,0.21742477292466766,0.0881351691189014,0.16660835421565412
rec,Social Life,0.24102041526615325,0.12395930771653796,0.1845040792779108,0.348852577154389,0.12639779238885107,0.06286967179245018,0.04268121472933728,0.031202627931950166,0.14518596078219745
rec,Education,0.4782810695773164,0.2948374400599738,0.10910076812028446,0.1519161545552108,0.19520197019016672,0.10750488632823962,0.1337254443818512,0.04580373492045364,0.18954643351668712
unem,Age,0.5202453152089603,0.17696753767180728,0.08144421627304299,0.3239283715196227,0.3139432754815559,0.20806526757440713,0.354184564459613,0.1705606770183744,0.2686674031509229
unem,Gender,0.23222873988443837,0.2873253270446028,0.018410826036973416,0.0999324688329074,0.21686235086453154,0.11387275010476228,0.29519153163899237,0.2752347200640919,0.1923823393089125
unem,Education,0.47626042368947274,0.28264395555746147,0.12570032337393344,0.2684296640470655,0.3890894914112757,0.17185483087086195,0.19978110686648198,0.10138309991607719,0.2518928619665788
unem,Work History,0.6590675643233641,0.5696418041264129,0.15451359854801894,0.1913633844171596,0.3788852225404744,0.12020515640597562,0.1408300827370157,0.1240556917848662,0.29232031311041096
unem,Skills,0.5400573720676987,0.43247376082462086,0.15451359854801894,0.18722579684842233,0.1618381131081691,0.06600597009175191,0.09393383533227462,0.15614454640281394,0.2240241241529713
unem,Disability,0.25646685487347365,0.33514490786214024,0.15306107147787373,0.25849884417372637,0.49513316263767837,0.1931363954197567,0.3504285287942962,0.16747475238104648,0.276168064702499
unem,Time Unemployed,0.4002387587303041,0.2684296640470655,0.06319870383972781,0.046141996859313306,0.31301044807875267,0.2143263975570573,0.10475724868040637,0.09603456276044897,0.18826722256913447
unem,Residence,0.3054326148573291,0.20279718939256552,0.06145905171016364,0.2839129675039912,0.060770098166805564,0.1699988052101451,0.1234639542688647,0.12149368524223891,0.16616604579401295
unem,Reason,0.17959933618936952,0.12469598707179641,0.03161171512203653,0.3826704218072232,0.02062885884164989,0.02831430278608149,0.1246237164669225,0.06543331911280437,0.11969720717473549
unem,Initiative,0.14083008273701558,0.2633104038580456,0.015059757044780686,0.4332389066348299,0.3037463548991902,0.05282275674809134,0.21169039025757808,0.07334494192039875,0.18675544926249127
cps,Child Demographics,0.29215581697339055,0.14919043413945854,0.03901970679947675,0.15577917611369152,0.09261862223892126,0.14739736855567187,0.14499541316547182,0.19987111330653895,0.15262845641157766
cps,Child CPS,0.5493060201067068,0.6146790572534364,0.14440620924670222,0.11318868690142714,0.3932872274827188,0.027191946880643192,0.10182861103347662,0.07440458243002812,0.25228654266689243
cps,Child Justice,0.7102066806517436,0.5455533277753383,0.08740736340764599,0.12102260292369593,0.333066447142215,0.13787843109957298,0.12964366293998963,0.07927801133060286,0.2680070659088506
